"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1959",18692.024,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1960",19624.4467,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1961",22283.2551,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1962",21786.544,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1963",25379.7117,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1964",25312.9026,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1965",25680.8367,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1966",28496.5014,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1967",29865.6038,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1968",31812.7501,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1969",37036.4471,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1970",40618.964,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1971",43660.2303,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1972",44540.3676,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1973",41847.6704,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1974",45941.4222,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1975",47736.5536,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1976",51146.7224,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1977",52298.9373,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1978",56010.2312,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1979",59967.46,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1980",57056.9071,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1981",58403.7398,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1982",58707.7696,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1983",63187.8522,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1984",72942.9489,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1985",75703.4234,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1986",83292.5498,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1987",90330.7431,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1988",91268.007,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1989",95530.2339,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1990",106283.5941,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1991",116332.0699,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1992",124953.3484,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1993",136809.5429,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1994",142847.5362,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1995",157074.9696,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1996",174171.3212,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1997",182316.2218,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1998",185818.3741,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1999",203877.1641,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2000",220797.2946,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2001",219020.5599,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2002",219453.3666,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2003",222111.2069,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2004",229519.2709,
