Country,population (1000s),adults (1000s),Share of world population (%),Share of adult population (%),Wealth per capita,Wealth per adult,Share of world wealth (%),GDP per capita,geep per data,Wealth Gini
 Japan,127034,100933,2.09,2.73,124858,157146,9.86,25924,7.05,0.547
 China,1251788,842063,20.57,22.77,11267,16749,8.77,3844,10.30,0.550
 Spain,40717,32165,0.67,0.87,93086,117837,2.36,19037,1.66,0.570
 South Korea,46779,33242,0.77,0.90,45278,63716,1.32,14937,1.50,0.579
 Macau,444,310,0.01,0.01,71660,102755,0.02,23118,0.02,0.580
 Ireland,4700,2646,0.08,0.08,91432,131367,0.22,27197,0.22,0.581
 Italy,57715,46416,0.95,1.26,120897,150327,4.34,22876,2.83,0.609
 Yemen,17937,7209,0.30,0.20,1426,3548,0.02,1293,0.05,0.613
 Finland,5177,3905,0.09,0.11,53154,70461,0.17,24416,0.27,0.615
 Brazil,173858,104213,2.86,2.82,62676,80825,2.13,16397,2.88,0.620
 Australia,19071,13690,0.31,0.37,90906,126635,1.08,27193,1.11,0.622
 Czech Republic,10267,7889,0.17,0.21,32431,42205,0.21,14844,0.33,0.626
 Slovenia,1967,1521,0.03,0.04,37019,47867,0.05,16983,0.07,0.626
 Belarus,10029,7335,0.17,0.20,14659,20043,0.09,8738,0.19,0.628
 Slovakia,5400,3900,0.09,0.11,24049,33297,0.08,12619,0.15,0.629
 Norway,4502,3337,0.07,0.09,79292,106970,0.22,32057,0.31,0.633
 Albania,3062,1851,0.05,0.05,10574,17497,0.02,3658,0.02,0.642
 Austria,8096,6271,0.13,0.17,73047,94305,0.37,24836,0.43,0.646
 Netherlands,15898,12046,0.26,0.33,121165,159910,1.20,25759,0.88,0.650
 Luxembourg,435,328,0.01,0.01,185231,245479,0.05,48968,0.05,0.650
 Hungary,10226,7834,0.17,0.21,31452,41055,0.20,11063,0.24,0.651
 Romania,22117,16431,0.36,0.44,14806,19930,0.20,5024,0.24,0.651
 New Zealand,4518,2678,0.07,0.07,55823,79585,0.13,20008,0.16,0.651
 Bulgaria,7997,6192,0.13,0.17,15120,19527,0.08,6356,0.11,0.652
 Ethiopia,68525,30020,1.13,0.81,1412,3224,0.06,720,0.11,0.652
 Greece,10975,8568,0.18,0.23,69855,89477,0.48,15558,0.37,0.654
 Croatia,4505,3430,0.07,0.09,22021,28925,0.06,9547,0.09,0.654
 Taiwan,22191,15476,0.37,0.42,100009,143405,1.38,19714,0.94,0.655
 Kazakhstan,15033,9507,0.25,0.26,13723,21699,0.13,8331,0.27,0.655
 Poland,38649,27858,0.64,0.75,24654,34204,0.59,9661,0.80,0.657
 Bangladesh,128916,66483,2.12,1.80,6305,12226,0.51,1772,0.49,0.660
 Mauritius,1186,779,0.02,0.02,60398,91954,0.05,14406,0.04,0.661
 Macedonia,2010,1398,0.03,0.04,14759,21214,0.02,5506,0.02,0.661
 Belgium,10304,7896,0.17,0.21,86205,112492,0.55,25008,0.55,0.662
 Malta,392,284,0.01,0.01,74246,102515,0.02,18256,0.02,0.664
 Iceland,320,194,0.01,0.01,81945,118439,0.01,26929,0.02,0.664
 Tajikistan,6159,2866,0.10,0.08,2940,6318,0.01,1380,0.02,0.664
 Sri Lanka,19848,12689,0.33,0.34,10337,16168,0.13,3841,0.16,0.665
 Lithuania,3500,2548,0.06,0.07,21566,29626,0.05,8397,0.06,0.666
 Germany,82344,64810,1.35,1.75,90768,115325,4.65,23917,4.22,0.667
 Portugal,10225,7878,0.17,0.21,53811,69840,0.34,17089,0.37,0.667
 Ukraine,49116,36573,0.81,0.99,9547,12821,0.29,5147,0.54,0.667
 India,1021084,570595,16.78,15.43,6513,11655,4.14,2684,5.87,0.669
 Algeria,30463,16353,0.50,0.44,7320,13635,0.14,6107,0.40,0.670
 Latvia,2373,1770,0.04,0.05,18958,25422,0.03,8305,0.04,0.670
 Estonia,1367,1016,0.02,0.03,24556,33023,0.02,10873,0.03,0.675
 Tanzania,34763,15569,0.57,0.42,1216,2716,0.03,490,0.04,0.676
 Israel,6084,3836,0.10,0.10,64633,102511,0.25,19148,0.25,0.677
 Jordan,4972,2474,0.08,0.07,10792,21687,0.03,4282,0.05,0.678
 Azerbaijan,8143,4816,0.13,0.13,6737,11391,0.03,3555,0.06,0.678
 Kyrgyzstan,4952,2706,0.08,0.07,5174,9469,0.02,3205,0.03,0.680
 Chad,8216,3501,0.14,0.10,1726,4051,0.01,959,0.02,0.681
 Vietnam,78671,44025,1.29,1.19,5621,10045,0.28,2012,0.34,0.682
 Armenia,3082,1986,0.05,0.05,9480,14711,0.02,3068,0.02,0.684
 Jamaica,2585,1478,0.04,0.04,9601,16787,0.02,3464,0.02,0.686
 Mauritania,2645,1225,0.04,0.03,3966,8566,0.01,1729,0.01,0.686
 Sierra Leone,4509,2136,0.07,0.06,2043,4311,0.01,734,0.01,0.687
 Canada,30689,22764,0.50,0.62,89252,120326,1.70,28731,1.89,0.688
 Equatorial Guinea,449,206,0.01,0.01,7404,16110,0.00,10302,0.01,0.688
 Cape Verde,451,202,0.01,0.01,10801,24144,0.00,4299,0.00,0.688
 Egypt,67285,35550,1.11,0.96,15541,29415,0.65,4406,0.64,0.689
 Singapore,4017,2890,0.07,0.08,113632,157942,0.28,28644,0.25,0.689
 Trinidad and Tobago,1285,817,0.02,0.02,51101,80369,0.04,13721,0.04,0.689
 Mozambique,17911,8088,0.29,0.22,2820,6245,0.03,1113,0.04,0.689
 Morocco,29231,16167,0.48,0.44,12440,22491,0.23,4299,0.27,0.690
 Moldova,4275,2894,0.07,0.08,7790,11508,0.02,2212,0.02,0.691
 Ghana,19867,9418,0.33,0.26,3903,8234,0.05,1376,0.06,0.692
 Tunisia,9563,5638,0.16,0.15,20534,34833,0.12,7130,0.15,0.693
 Guinea,8434,3876,0.14,0.11,7756,16877,0.04,2961,0.05,0.693
 United Kingdom,58670,43871,0.96,1.19,128959,172461,4.71,24252,3.09,0.697
 Senegal,10343,4547,0.17,0.12,4309,9802,0.03,1681,0.04,0.697
 Pakistan,142648,67968,2.34,1.84,5987,12566,0.53,2158,0.66,0.698
